"@timestamp",stream,message
"2022-03-04 13:00:04.159",stdout,"Arena 4:
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     135168
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     237568
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       2240
"
"2022-03-04 13:00:04.159",stdout,"Arena 1:
"
"2022-03-04 13:00:04.159",stdout,"Arena 7:
"
"2022-03-04 13:00:04.159",stdout,"Arena 12:
"
"2022-03-04 13:00:04.159",stdout,"Arena 2:
"
"2022-03-04 13:00:04.159",stdout,"Arena 8:
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =      10592
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =     347184
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     135168
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       4960
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =     165712
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     139264
"
"2022-03-04 13:00:04.159",stdout,"Arena 10:
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       5504
"
"2022-03-04 13:00:04.159",stdout,"Arena 11:
"
"2022-03-04 13:00:04.159",stdout,"Arena 6:
"
"2022-03-04 13:00:04.160",stdout,"max mmap regions =         24
"
"2022-03-04 13:00:04.160",stdout,"max mmap bytes   = 5759631360
"
"2022-03-04 13:00:04.160",stdout,"system bytes     =  201318400
"
"2022-03-04 13:00:04.160",stdout,"in use bytes     =  102781824
"
"2022-03-04 13:00:04.160",stdout,"system bytes     =  600481792
"
"2022-03-04 13:00:04.160",stdout,"Arena 15:
"
"2022-03-04 13:00:04.160",stdout,"+--------------+--------------------------------+
"
"2022-03-04 13:00:04.160",stdout,"| command      | result                         |
"
"2022-03-04 13:00:04.160",stdout,"Total (incl. mmap):
"
"2022-03-04 13:00:04.160",stdout,"Arena 14:
"
"2022-03-04 13:00:04.160",stdout,"in use bytes     =   37118000
"
"2022-03-04 13:00:04.160",stdout,"+--------------+--------------------------------+
"
"2022-03-04 13:00:04.160",stdout,"| malloc_stats | /var/log/manticore/searchd.log |
"
"2022-03-04 13:00:04.160",stdout,"system bytes     =  326647808
"
"2022-03-04 13:00:04.160",stdout,"system bytes     =  201285632
"
"2022-03-04 13:00:04.160",stdout,"in use bytes     =   54837968
"
"2022-03-04 13:00:04.160",stdout,"+--------------+--------------------------------+
"
"2022-03-04 13:00:04.160",stdout,"in use bytes     = 4069938016
"
"2022-03-04 13:00:04.160",stdout,"Arena 13:
"
"2022-03-04 13:00:04.164",stdout,"+---------------------------------------+--------------------------------------+
"
"2022-03-04 13:00:04.165",stdout,"| command_callpq                        | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_delete                        | 1579                                 |
"
"2022-03-04 13:00:04.165",stdout,"| command_search                        | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_commit_oooe         | 0.000000                             |
"
"2022-03-04 13:00:04.165",stdout,"| command_insert                        | 2559305                              |
"
"2022-03-04 13:00:04.165",stdout,"| Counter                               | Value                                |
"
"2022-03-04 13:00:04.165",stdout,"| command_replace                       | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_set                           | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_ping                          | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"+---------------------------------------+--------------------------------------+
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_commit_window       | 1.000000                             |
"
"2022-03-04 13:00:04.165",stdout,"| command_getfield                      | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_excerpt                       | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_commit_oool         | 0.000000                             |
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_last_committed      | 1583                                 |
"
"2022-03-04 13:00:04.165",stdout,"| command_json                          | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_local_commits       | 1579                                 |
"
"2022-03-04 13:00:04.165",stdout,"| command_sphinxql                      | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_flushattrs                    | 0                                    |
"
